time,Rx_left,Rx_right,p,separation
0,0,0,0,0
0.00025,-0.039475045226754,0.038987388974945,0.0005,4.4486540593143e-09
0.0005,-0.078471264865023,0.077983608613208,0.0005,8.8639850532614e-09
0.00075,-0.11746748450329,0.1169798282515,0.0005,1.3279316047209e-08
0.001,-0.15646370414156,0.15597604788974,0.0005,1.7694647041156e-08
0.00125,-0.19545992377983,0.19497226752804,0.0005,2.2109978035103e-08
0.0015,-0.2344561434181,0.23396848716631,0.0005,2.652530902905e-08
0.00175,-0.27345236305637,0.27296470680455,0.0005,3.0940640022997e-08
0.002,-0.31244858269464,0.31196092644281,0.0005,3.5355971016944e-08
0.00225,-0.3514448023329,0.35095714608112,0.0005,3.9771302010891e-08
0.0025,-0.39044102197117,0.38995336571935,0.0005,4.4186633004838e-08
0.00275,-0.42943724160944,0.42894958535761,0.0005,4.8601963998786e-08
0.003,-0.46843346124771,0.46794580499591,0.0005,5.3017294992733e-08
0.00325,-0.50742968088598,0.5069420246342,0.0005,5.743262598668e-08
0.0035,-0.54642590052425,0.54593824427242,0.0005,6.1847956980627e-08
0.00375,-0.58542212016251,0.58493446391076,0.0005,6.6263287974574e-08
0.004,-0.62441833980078,0.62393068354897,0.0005,7.0678618968521e-08
0.00425,-0.66341455943905,0.6629269031872,0.0005,7.5093949962468e-08
0.0045,-0.70241077907732,0.70192312282551,0.0005,7.9509280956416e-08
0.00475,-0.74140699871559,0.74091934246374,0.0005,8.3924611950363e-08
0.005,-0.78040321835386,0.77991556210217,0.0005,8.833994294431e-08
0.00525,-0.81939943799213,0.81891178174034,0.0005,9.2755273938257e-08
0.0055,-0.8583956576304,0.85790800137858,0.0005,9.7170604932204e-08
0.00575,-0.89739187726866,0.89690422101689,0.0005,1.0158593592615e-07
0.006,-0.93638809690693,0.93590044065513,0.0005,1.060012669201e-07
0.00625,-0.9753843165452,0.97489666029337,0.0005,1.1041659791405e-07
0.0065,-1.0143805361835,1.0138928799316,0.0005,1.1483192890799e-07
0.00675,-1.0533767558217,1.05288909957,0.0005,1.1924725990194e-07
0.007,-1.09237297546,1.0918853192081,0.0005,1.2366259089589e-07
0.00725,-1.1313691950983,1.1308815388465,0.0005,1.2807792188983e-07
0.0075,-1.1703654147365,1.1698777584847,0.0005,1.3249325288378e-07
0.00775,-1.2093616343748,1.208873978123,0.0005,1.3690858387773e-07
0.008,-1.2483578540131,1.2478701977613,0.0005,1.4132391487168e-07
0.00825,-1.2873540736514,1.2868664173996,0.0005,1.4573924586562e-07
0.0085,-1.3263502932896,1.3258626370378,0.0005,1.5015457685957e-07
0.00875,-1.3653465129279,1.3648588566761,0.0005,1.5456990785352e-07
0.009,-1.4043427325662,1.4038550763143,0.0005,1.5898523884746e-07
0.00925,-1.4433389522044,1.4428512959525,0.0005,1.6340056984141e-07
0.0095,-1.4823351718427,1.4818475155909,0.0005,1.6781590083536e-07
0.00975,-1.521331391481,1.5208437352291,0.0005,1.7223123182931e-07
0.01,-1.5603276111192,1.5598399548674,0.0005,1.7664656282325e-07
0.01025,-1.5993238307575,1.5988361745059,0.0005,1.810618938172e-07
0.0105,-1.6383200503958,1.6378323941437,0.0005,1.8547722481115e-07
0.01075,-1.677316270034,1.6768286137824,0.0005,1.8989255580509e-07
0.011,-1.7163124896723,1.7158248334206,0.0005,1.9430788679904e-07
0.01125,-1.7553087093106,1.7548210530587,0.0005,1.9872321779299e-07
0.0115,-1.7943049289488,1.7938172726971,0.0005,2.0313854878694e-07
0.01175,-1.8333011485871,1.8328134923353,0.0005,2.0755387978088e-07
0.012,-1.8722973682254,1.8718097119735,0.0005,2.1196921077483e-07
0.01225,-1.9112935878636,1.9108059316117,0.0005,2.1638454176878e-07
0.0125,-1.9502898075019,1.9498021512502,0.0005,2.2079987276272e-07
0.01275,-1.9892860271402,1.9887983708884,0.0005,2.2521520375667e-07
0.013,-2.0282822467785,2.0277945905267,0.0005,2.2963053475062e-07
0.01325,-2.0672784664167,2.0667908101649,0.0005,2.3404586574457e-07
0.0135,-2.106274686055,2.1057870298031,0.0005,2.3846119673851e-07
0.01375,-2.1452709056933,2.1447832494416,0.0005,2.4287652773246e-07
0.014,-2.1842671253315,2.1837794690796,0.0005,2.4729185872641e-07
0.01425,-2.2232633449698,2.222775688718,0.0005,2.5170718972036e-07
0.0145,-2.2622595646081,2.2617719083565,0.0005,2.561225207143e-07
0.01475,-2.3012557842463,2.3007681279944,0.0005,2.6053785170825e-07
0.015,-2.3402520038846,2.3397643476328,0.0005,2.649531827022e-07
0.01525,-2.3792482235229,2.3787605672712,0.0005,2.6936851369614e-07
0.0155,-2.4182444431611,2.4177567869093,0.0005,2.7378384469009e-07
0.01575,-2.4572406627994,2.4567530065479,0.0005,2.7819917568404e-07
0.016,-2.4962368824377,2.4957492261859,0.0005,2.8261450667798e-07
0.01625,-2.535233102076,2.5347454458241,0.0005,2.8702983767193e-07
0.0165,-2.5742293217142,2.5737416654623,0.0005,2.9144516866588e-07
0.01675,-2.6132255413525,2.6127378851005,0.0005,2.9586049965983e-07
0.017,-2.6522217609908,2.6517341047388,0.0005,3.0027583065377e-07
0.01725,-2.691217980629,2.6907303243773,0.0005,3.0469116164772e-07
0.0175,-2.7302142002673,2.7297265440153,0.0005,3.0910649264167e-07
0.01775,-2.7692104199056,2.7687227636538,0.0005,3.1352182363561e-07
0.018,-2.8082066395438,2.8077189832918,0.0005,3.1793715462956e-07
0.01825,-2.8472028591821,2.8467152029303,0.0005,3.2235248562351e-07
0.0185,-2.8861990788204,2.8857114225685,0.0005,3.2676781661745e-07
0.01875,-2.9251952984586,2.9247076422072,0.0005,3.311831476114e-07
0.019,-2.9641915180969,2.9637038618452,0.0005,3.3559847860535e-07
0.01925,-3.0031877377352,3.0027000814834,0.0005,3.400138095993e-07
0.0195,-3.0421839573735,3.0416963011214,0.0005,3.4442914059325e-07
0.01975,-3.0421156048299,3.0384845526135,0.0036350998094531,4.6039190805616e-06
0.02,-2.9955136225263,2.9838145991374,0.011714581650822,2.4441627151661e-05
0.02025,-2.9527611491189,2.9335131573556,0.019274112732438,5.6446639220871e-05
0.0205,-2.9102050258884,2.8834331902695,0.026808660592968,0.00010120339444398
0.02075,-2.8674877979827,2.8331751642333,0.034360651961288,0.00015898529713496
0.021,-2.824615068655,2.7827461315397,0.041928111151976,0.00022993011472066
0.02125,-2.7815950064923,2.7321563256331,0.049509275817063,0.00031416927933445
0.0215,-2.7384311950353,2.6814101746236,0.057103284276189,0.0004118378812987
0.02175,-2.6951232853358,2.6305076014362,0.064709917241277,0.00052307821013776
0.022,-2.6516684591385,2.5794456002244,0.072329362453052,0.00064804140618514
0.02225,-2.6080622002171,2.5282192054791,0.079962075675513,0.00078688861222335
0.0225,-2.5642986781062,2.4768219399278,0.087608714514724,0.00093979221503908
0.02275,-2.5203709607429,2.4252461036927,0.095270096444011,0.0011069370081301
0.023,-2.4762710742799,2.3734827481689,0.10294719839948,0.0012885218972946
0.02325,-2.4319900594773,2.3215218190622,0.11064113685884,0.0014847612364742
0.0235,-2.3875179595013,2.2693521473164,0.11835316756386,0.0016958865271412
0.02375,-2.342843749718,2.2169613055363,0.12608470250577,0.001922148649374
0.024,-2.2979552957487,2.1643356473022,0.13383730460692,0.0021638197487149
0.02425,-2.2528392300684,2.1114601022958,0.14161271295852,0.0024211960791856
0.0245,-2.2074808228331,2.0583180238227,0.14941286167975,0.0026946010409355
0.02475,-2.1618638602962,2.0048911265951,0.15723988811808,0.0029843882195722
0.025,-2.1159704291922,1.9511591664367,0.16509617286463,0.0032909457986026
0.02525,-2.0697807043704,1.8970997230868,0.17298436741747,0.0036147011673345
0.0255,-2.0232726648663,1.8426878429174,0.18090743913833,0.0039561267577206
0.02575,-1.976421836418,1.7878958714565,0.18886869430196,0.0043157458042861
0.026,-1.9292007893349,1.7326926570282,0.19687187655819,0.0046941419472865
0.02625,-1.8815787831629,1.6770433724794,0.20492119312503,0.0050919672199938
