time Fy load
0 0 0
0.0001 0 0
0.0002 0.73078009604011 0.0001
0.0003 1.4615591012853 0.0002
0.0004 2.1923337874148 0.0003
0.0005 2.9231006055807 0.0004
0.0006 3.6538554820127 0.0005
0.0007 4.3845931702927 0.0006
0.0008 5.1152460638505 0.0007
0.0009 5.8459089394877 0.0008
0.001 6.5765352595073 0.0009
0.0011 7.3072605446596 0.001
0.0012 8.037637254232 0.0011
0.0013 8.7680942223501 0.0012
0.0014 9.4984833931184 0.0013
0.0015 10.228794003601 0.0014
0.0016 10.959022864473 0.0015
0.0017 11.689154466054 0.0016
0.0018 12.419179681201 0.0017
0.0019 13.149062633868 0.0018
0.002 13.877908330353 0.0019
0.0021 14.584298619224 0.002
0.0022 15.262646044753 0.0021
0.0023 15.928028219625 0.0022
0.0024 16.576033331262 0.0023
0.0025 17.215987222307 0.0024
0.0026 17.853815227084 0.0025
0.0027 18.475497120834 0.0026
0.0028 19.094681265133 0.0027
0.0029 19.708989465761 0.0028
0.003 20.318952090973 0.0029
0.0031 20.923305255719 0.003
0.0032 21.525665752449 0.0031
0.0033 22.124558126883 0.0032
0.0034 22.718809293725 0.0033
0.0035 23.306444524643 0.0034
0.0036 23.877483421204 0.0035
0.0037 24.436839672644 0.0036
0.0038 24.988074928396 0.0037
0.0039 25.54261296413 0.0038
0.004 26.086501152421 0.0039
0.0041 26.617495007225 0.004
0.0042 27.132837036458 0.0041
0.0043 27.626042652337 0.0042
0.0044 28.072396697146 0.0043
0.0045 28.448719124421 0.0044
0.0046 28.665033110848 0.0045
0.0047 28.510839155445 0.0046
0.0048 27.249702855482 0.0047
0.0049 23.632443270655 0.0048
0.005 17.920750412411 0.0049
0.0051 11.155475676144 0.005
0.0052 0.88789235659194 0.0051
0.0053 0.8636264038035 0.0052
0.0054 0.82976177780233 0.0053
0.0055 0.79649748046532 0.0054
0.0056 0.76500415876493 0.0055
0.0057 0.73523252136663 0.0056
0.0058 0.70302550792941 0.0057
0.0059 0.68027688409765 0.0058
0.006 0.6550317708843 0.0059
