time Fy load
0 0 0
0.0001 0 0
0.0002 0.73196953415883 0.0001
0.0003 1.4639378432153 0.0002
0.0004 2.1959020176347 0.0003
0.0005 2.9278584862496 0.0004
0.0006 3.6598032422485 0.0005
0.0007 4.3917311244363 0.0006
0.0008 5.1236378193676 0.0007
0.0009 5.8555166934919 0.0008
0.001 6.5873621624355 0.0009
0.0011 7.3191700319665 0.001
0.0012 8.0509329904912 0.0011
0.0013 8.782632755034 0.0012
0.0014 9.5142672320051 0.0013
0.0015 10.245833194117 0.0014
0.0016 10.977323343575 0.0015
0.0017 11.708726938034 0.0016
0.0018 12.439499927265 0.0017
0.0019 13.170592437509 0.0018
0.002 13.898584830423 0.0019
0.0021 14.60342770138 0.002
0.0022 15.283440097651 0.0021
0.0023 15.946912660436 0.0022
0.0024 16.598014000863 0.0023
0.0025 17.239212973297 0.0024
0.0026 17.872370239608 0.0025
0.0027 18.493547190737 0.0026
0.0028 19.112513980906 0.0027
0.0029 19.726575833842 0.0028
0.003 20.336284781703 0.0029
0.0031 20.94037250921 0.003
0.0032 21.542580621533 0.0031
0.0033 22.141349635568 0.0032
0.0034 22.735454006358 0.0033
0.0035 23.324641646759 0.0034
0.0036 23.909519014568 0.0035
0.0037 24.489354079034 0.0036
0.0038 25.062735945233 0.0037
0.0039 25.629900554494 0.0038
0.004 26.184974382928 0.0039
0.0041 26.720237476793 0.004
0.0042 27.23640788044 0.0041
0.0043 27.727626156046 0.0042
0.0044 28.170397316068 0.0043
0.0045 28.544051571133 0.0044
0.0046 28.762888386359 0.0045
0.0047 28.634641757481 0.0046
0.0048 27.484227188941 0.0047
0.0049 24.053400822394 0.0048
0.005 18.447891032337 0.0049
0.0051 11.810896849148 0.005
0.0052 0.95308561946668 0.0051
0.0053 0.92388442353049 0.0052
0.0054 0.87712968354889 0.0053
0.0055 0.84306556473229 0.0054
0.0056 0.80469404068691 0.0055
0.0057 0.76841248032739 0.0056
0.0058 0.73420728129302 0.0057
0.0059 0.70194462588093 0.0058
0.006 0.67149631475065 0.0059
