time Fy load
0 0 0
0.0001 0 0
0.0002 0.67841818892035 0.0001
0.0003 1.3568363778408 0.0002
0.0004 2.0352545667612 0.0003
0.0005 2.7136727556817 0.0004
0.0006 3.3920909446021 0.0005
0.0007 4.0705091335225 0.0006
0.0008 4.748927322443 0.0007
0.0009 5.4273455113634 0.0008
0.001 6.1057637002838 0.0009
0.0011 6.7841801633877 0.001
0.0012 7.46259276224 0.0011
0.0013 8.1409733024106 0.0012
0.0014 8.8193430001773 0.0013
0.0015 9.497689937231 0.0014
0.0016 10.176001373571 0.0015
0.0017 10.854221461676 0.0016
0.0018 11.5323552592 0.0017
0.0019 12.21042864822 0.0018
0.002 12.888313362267 0.0019
0.0021 13.565970784274 0.002
0.0022 14.243434857221 0.0021
0.0023 14.920654219072 0.0022
0.0024 15.597258539059 0.0023
0.0025 16.273099533852 0.0024
0.0026 16.948556573121 0.0025
0.0027 17.623454166253 0.0026
0.0028 18.296466773144 0.0027
0.0029 18.967560563648 0.0028
0.003 19.637662999752 0.0029
0.0031 20.305718550018 0.003
0.0032 20.969262667696 0.0031
0.0033 21.6296364805 0.0032
0.0034 22.283526869552 0.0033
0.0035 22.931405061309 0.0034
0.0036 23.572059507909 0.0035
0.0037 24.199101895511 0.0036
0.0038 24.816148293939 0.0037
0.0039 25.416330967864 0.0038
0.004 25.993118738078 0.0039
0.0041 26.546515829149 0.004
0.0042 27.058593543862 0.0041
0.0043 27.527923454288 0.0042
0.0044 27.922985222565 0.0043
0.0045 28.220225625263 0.0044
0.0046 28.329911627902 0.0045
0.0047 28.112998791783 0.0046
0.0048 27.282572269725 0.0047
0.0049 24.441724523532 0.0048
0.005 20.031512214351 0.0049
0.0051 14.800563566967 0.005
0.0052 6.9445334155745 0.0051
0.0053 0.57289840567062 0.0052
0.0054 0.54340913024297 0.0053
0.0055 0.51521956806841 0.0054
0.0056 0.48858328492346 0.0055
0.0057 0.46540192652871 0.0056
0.0058 0.44670138083508 0.0057
0.0059 0.42594598194628 0.0058
0.006 0.40663733176155 0.0059
