time,force,force_increment
0,0,0
0.3,2347.3346829019,2347.3346829019
0.6,4693.4983298645,2346.1636469626
0.9,7038.4889351463,2344.9906052818
1.2,9382.3127955863,2343.8238604399
1.5,11724.967830527,2342.6550349403
1.8,14066.454703144,2341.4868726174
2.1,16406.774162812,2340.3194596681
2.4,18745.926934592,2339.1527717799
2.7,21077.049550992,2331.1226163999
3,23280.368929684,2203.3193786921
3.3,24896.051181952,1615.6822522679
3.6,25417.855510969,521.80432901666
3.9,25717.140236837,299.28472586787
4.2,25932.588301001,215.44806416458
4.5,26119.357774347,186.76947334614
4.8,26285.547447951,166.18967360423
5.1,26436.006494229,150.45904627766
5.4,26577.619823022,141.61332879309
5.7,26714.661607501,137.04178447842
6,26847.549843682,132.88823618145
6.3,26977.026012988,129.47616930556
6.6,27103.414324158,126.38831117027
6.9,27226.865373705,123.45104954666
7.2,27347.51641692,120.65104321561
7.5,27465.453035888,117.93661896774
7.8,27580.564139662,115.11110377435
8.1,27693.514276764,112.95013710154
8.4,27803.471091063,109.95681429957
8.7,27911.501494425,108.03040336139
9,28017.865505504,106.36401107967
9.3,28122.931222289,105.06571678454
9.6,28226.528116448,103.59689415879
9.9,28328.954551388,102.42643493986
10.2,28429.35552147,100.40097008185
10.5,28528.58154195,99.226020480353
10.8,28626.323103336,97.741561386527
11.1,28722.626517362,96.303414025973
11.4,28817.510639164,94.88412180213
11.7,28911.058122189,93.547483024926
12,29003.161447562,92.103325372314
12.3,29093.844329084,90.682881522273
12.6,29183.246606417,89.402277333087
12.9,29271.068418656,87.821812238875
13.2,29357.545662504,86.477243848145
13.5,29442.555441874,85.009779370379
13.8,29526.341724158,83.786282283876
14.1,29608.550878708,82.209154549688
14.4,29689.446312452,80.895433744117
14.7,29769.301704311,79.85539185931
15,29848.135401516,78.833697204773
15.3,29925.962891613,77.827490097236
15.6,30002.806047069,76.843155455121
15.9,30078.681221455,75.875174386616
16.2,30153.624343261,74.943121805998
16.5,30227.582095737,73.957752476021
16.8,30300.631746894,73.049651157187
17.1,30372.682612236,72.050865341505
17.4,30443.929626026,71.247013789871
17.7,30514.290120058,70.360494031996
18,30583.764789763,69.474669704956
18.3,30652.388311059,68.62352129658
18.6,30720.150027119,67.761716059926
18.9,30787.053898743,66.903871623566
19.2,30853.117423312,66.063524569159
19.5,30918.359613854,65.242190541656
19.8,30982.805208012,64.445594158176
20.1,31046.414106994,63.608898982107
20.4,31109.197169788,62.783062793584
20.7,31171.217629652,62.020459864587
21,31232.490245002,61.272615350299
21.3,31292.936665488,60.446420485299
21.6,31352.581725101,59.645059612812
21.9,31411.469865645,58.888140544863
22.2,31469.632396755,58.162531109439
22.5,31527.037744425,57.405347670341
22.8,31583.605383613,56.567639187451
23.1,31639.448010491,55.842626878053
23.4,31694.505825475,55.057814984397
23.7,31748.876460746,54.37063527089
24,31802.551265784,53.67480503827
24.3,31855.638370584,53.087104799441
24.6,31908.101324846,52.462954262239
24.9,31959.97503979,51.873714943893
25.2,32011.198520658,51.223480868346
25.5,32061.904658127,50.706137468471
25.8,32112.036968637,50.132310510409
26.1,32161.601768527,49.564799889984
26.4,32210.606615805,49.004847277749
26.7,32259.063729092,48.457113287575
27,32306.97368432,47.909955227751
27.3,32354.348064796,47.37438047642
27.6,32401.185327539,46.837262742916
27.9,32447.492672655,46.307345115176
28.2,32493.274283582,45.781610927013
28.5,32538.544465285,45.270181703461
28.8,32583.318257912,44.773792626485
29.1,32627.600982015,44.282724103519
29.4,32671.38086967,43.779887654477
29.7,32714.669382737,43.288513067244
30,32757.479570804,42.810188067244
30.3,32799.796181534,42.316610730406
30.6,32841.649465926,41.853284391116
30.9,32883.047330493,41.397864567756
31.2,32923.993585547,40.94625505407
31.5,32964.485881755,40.492296207987
31.8,33004.52389792,40.038016164588
32.1,33044.120371287,39.596473366808
32.4,33083.2696772,39.149305913204
32.7,33121.970380108,38.700702908238
33,33160.248723995,38.278343887017
33.3,33198.109572556,37.860848560675
33.6,33235.556545663,37.446973106918
33.9,33272.593665715,37.037120052439
34.2,33309.208929113,36.61526339806
34.5,33345.418866533,36.209937419524
34.8,33381.21933494,35.800468406822
35.1,33416.602235422,35.382900482575
35.4,33451.592492239,34.990256816985
35.7,33486.196491708,34.603999469036
36,33520.418078008,34.221586299798
36.3,33554.259602307,33.84152429919
36.6,33587.721760783,33.462158475922
36.9,33620.795624428,33.07386364499
37.2,33653.485719699,32.690095271028
37.5,33685.806819327,32.321099627574
37.8,33717.761409628,31.954590301255
38.1,33749.339107519,31.577697891393
38.4,33780.560673872,31.22156635268
38.7,33811.423070504,30.862396631666
39,33841.905023705,30.481953200993
39.3,33871.887703451,29.982679746063
39.6,33901.11889096,29.231187508762
39.9,33929.258908752,28.140017792546
40.2,33955.800060803,26.541152050937
40.3,33961.88934856,6.0892877571023
40.4,33966.143043467,4.2536949063724
40.5,33965.475440278,-0.66760318854358
40.6,33952.976175452,-12.499264826001
40.7,33697.902692422,-255.07348303044
40.8,32098.70448618,-1599.1982062418
40.9,20326.501509658,-11772.202976521
41,2662.1710199429,-17664.330489715
41.1,1252.6642858735,-1409.5067340694
41.2,1052.7077103145,-199.95657555892
41.3,994.635083613,-58.072626701544
