time,force,force_increment
0,0,0
0.3,2347.3346829009,2347.3346829009
0.6,4693.4983298662,2346.1636469653
0.9,7038.4889351463,2344.9906052801
1.2,9382.3127955883,2343.823860442
1.5,11724.967830526,2342.6550349377
1.8,14066.454703147,2341.4868726207
2.1,16406.774162813,2340.3194596668
2.4,18745.926934593,2339.1527717791
2.7,21077.04955099,2331.1226163976
3,23280.368929574,2203.3193785842
3.3,24896.051232745,1615.682303171
3.6,25417.855550477,521.8043177317
3.9,25717.14023974,299.28468926339
4.2,25933.091078019,215.95083827816
4.5,26119.358559704,186.26748168587
4.8,26285.547252811,166.18869310668
5.1,26436.005532344,150.45827953328
5.4,26577.618671269,141.61313892473
5.7,26715.041151444,137.42248017527
6,26847.547353709,132.50620226431
6.3,26977.023440641,129.47608693197
6.6,27103.411649039,126.38820839786
6.9,27226.862603444,123.45095440507
7.2,27347.513723397,120.65111995366
7.5,27465.450327951,117.93660455417
7.8,27580.561245212,115.11091726088
8.1,27693.460038983,112.89879377065
8.4,27803.43133199,109.97129300728
8.7,27911.546621581,108.11528959032
9,28017.863192555,106.31657097397
9.3,28122.928972698,105.06578014328
9.6,28226.525927466,103.59695476773
9.9,28328.682811223,102.15688375731
10.2,28429.353551941,100.67074071853
10.5,28528.579596735,99.226044793144
10.8,28626.32119446,97.741597725482
11.1,28722.624741558,96.303547097919
11.4,28817.504380174,94.879638615632
11.7,28911.056421113,93.552040938925
12,29003.159791481,92.10337036803
12.3,29093.842720387,90.682928906088
12.6,29183.245036411,89.402316024116
12.9,29271.066895544,87.821859132902
13.2,29357.544185498,86.47728995436
13.5,29442.554008631,85.009823132565
13.8,29526.317208326,83.76319969496
14.1,29608.552895921,82.235687595894
14.4,29689.450386168,80.897490246312
14.7,29769.339967045,79.889580877003
15,29848.138066114,78.798099069259
15.3,29925.98154015,77.843474035824
15.6,30002.798701354,76.817161204403
15.9,30078.696182716,75.897481361557
16.2,30153.611694647,74.915511930925
16.5,30227.56075005,73.949055403315
16.8,30300.649199024,73.088448974031
17.1,30372.681437178,72.032238154417
17.4,30443.928485391,71.24704821295
17.7,30514.289014958,70.360529566471
18,30583.76371595,69.474700991927
18.3,30652.388776158,68.625060208287
18.6,30720.149022265,67.760246106714
18.9,30787.052924327,66.903902061986
19.2,30853.116476974,66.063552647549
19.5,30918.362147336,65.245670361699
19.8,30982.810525632,64.448378296147
20.1,31046.419928073,63.60940244115
20.4,31109.202700563,62.782772489307
20.7,31171.216928887,62.014228324013
21,31232.489564204,61.272635317389
21.3,31292.936838122,60.447273917791
21.6,31352.581088856,59.644250734651
21.9,31411.469241824,58.888152967116
22.2,31469.63179097,58.162549146149
22.5,31527.037157909,57.405366939096
22.8,31583.604817889,56.567659980239
23.1,31639.447465879,55.84264798999
23.4,31694.571459222,55.123993343332
23.7,31748.86812633,54.296667107548
24,31802.554058383,53.685932052857
24.3,31855.631337802,53.077279419067
24.6,31908.04149619,52.410158388018
24.9,31959.914806896,51.873310706007
25.2,32011.198107108,51.283300211788
25.5,32061.904252995,50.706145887489
25.8,32112.036585823,50.132332827765
26.1,32161.601634912,49.565049088924
26.4,32210.606206476,49.004571564463
26.7,32259.063650145,48.457443669056
27,32306.973305422,47.909655276322
27.3,32354.347691173,47.374385750791
27.6,32401.184957559,46.837266386305
27.9,32447.492307793,46.307350234012
28.2,32493.274091055,45.781783261948
28.5,32538.543997216,45.269906161546
28.8,32583.317905438,44.773908221567
29.1,32627.60063315,44.282727711994
29.4,32671.380524542,43.779891392507
29.7,32714.669041375,43.288516832505
30,32757.479232871,42.810191496046
30.3,32799.795045791,42.315812920402
30.6,32841.64913149,41.854085698607
30.9,32883.046998483,41.397866992658
31.2,32923.993256068,40.946257585776
31.5,32964.485555174,40.492299105899
31.8,33004.523573513,40.038018339015
32.1,33044.120049696,39.596476182443
32.4,33083.26935738,39.149307684675
32.7,33121.969586747,38.700229366332
33,33160.248406389,38.278819642364
33.3,33198.109259371,37.860852981612
33.6,33235.556242422,37.446983051195
33.9,33272.593372916,37.037130493707
34.2,33309.20858188,36.615208964562
34.5,33345.418551946,36.209970065851
34.8,33381.219005368,35.800453422118
35.1,33416.601972638,35.382967269652
35.4,33451.592165415,34.990192777528
35.7,33486.196246305,34.604080889359
36,33520.418454475,34.22220817073
36.3,33554.259304011,33.840849535431
36.6,33587.721446757,33.462142745739
36.9,33620.795287417,33.073840660036
37.2,33653.485424528,32.690137111822
37.5,33685.806542984,32.321118455133
37.8,33717.760563661,31.954020677134
38.1,33749.326698261,31.566134600303
38.4,33780.475830857,31.149132595659
38.7,33811.092762439,30.616931581833
39,33840.988526155,29.8957637161
39.3,33869.870483027,28.881956871926
39.6,33897.289458953,27.418975926834
39.9,33922.496788373,25.207329419172
40.2,33944.466274958,21.969486585564
40.3,33935.530865221,-8.9354097369142
40.4,33736.528750148,-199.00211507366
40.5,32688.752789408,-1047.7759607398
40.6,27344.32770502,-5344.4250843874
40.7,3643.7373388634,-23700.590366157
40.8,1300.2082956279,-2343.5290432355
40.9,1039.2070320356,-261.00126359225
41,969.72516094405,-69.481871091567
