time,force,force_increment
0,0,0
0.3,2327.8384737889,2327.8384737889
0.6,4654.467417071,2326.6289432821
0.9,6979.9405943643,2325.4731772933
1.2,9304.2589673356,2324.3183729713
1.5,11627.423179555,2323.1642122192
1.8,13949.434075303,2322.010895748
2.1,16270.292330221,2320.8582549185
2.4,18589.998671801,2319.7063415795
2.7,20903.971004766,2313.9723329651
3,23108.289071727,2204.3180669612
3.3,24820.724949139,1712.4358774118
3.6,25382.64264723,561.91769809071
3.9,25695.328506016,312.68585878631
4.2,25914.094652473,218.76614645756
4.5,26102.972734341,188.87808186785
4.8,26270.847136288,167.87440194628
5.1,26422.339213719,151.49207743186
5.4,26564.601842724,142.26262900413
5.7,26702.027691348,137.42584862441
6,26835.169061283,133.14136993546
6.3,26964.893167511,129.72410622778
6.6,27091.535614259,126.64244674742
6.9,27214.962270299,123.42665604026
7.2,27335.773605635,120.81133533638
7.5,27454.144199307,118.37059367164
7.8,27569.301190082,115.15699077462
8.1,27682.285086535,112.9838964539
8.4,27792.547116384,110.26202984816
8.7,27900.713030757,108.16591437336
9,28007.475836258,106.76280550126
9.3,28112.600589271,105.12475301312
9.6,28216.264052221,103.66346294953
9.9,28318.548755635,102.28470341389
10.2,28419.152161274,100.60340563915
10.5,28518.681949963,99.529788689542
10.8,28616.345237793,97.663287829615
11.1,28712.770486702,96.425248908603
11.4,28807.742501878,94.972015176521
11.7,28901.416443094,93.673941215398
12,28993.642967845,92.226524751644
12.3,29084.430054823,90.787086977514
12.6,29173.949142625,89.519087802513
12.9,29261.902303183,87.953160557427
13.2,29348.499073405,86.59677022191
13.5,29433.62789187,85.128818465069
13.8,29517.477384391,83.849492521051
14.1,29599.842741253,82.365356861985
14.4,29680.830750104,80.988008851575
14.7,29760.787845021,79.957094916255
15,29839.703041786,78.915196765756
15.3,29917.625736625,77.922694838559
15.6,29994.547618399,76.921881773975
15.9,30070.534565224,75.986946825436
16.2,30145.50123034,74.966665116121
16.5,30219.562724057,74.061493716254
16.8,30292.708375688,73.145651631494
17.1,30364.935657172,72.22728148372
17.4,30436.182771055,71.247113883204
17.7,30506.622185905,70.43941484981
18,30576.175420379,69.553234473835
