time,elastic,external,fracture,mobility,plastic,plastic_strain,stress,total_strain
0.1,343975.50146965,343963.2523626,0,12.9375,0,0,6.8797190688834,0.00010000499999996
0.2,1375804.0377357,1375779.5324084,0,12.9375,0,0,13.758876406772,0.00020002000000019
0.3,3095338.6590355,3095301.9133747,0,12.9375,0,0,20.637472210089,0.00030004500000014
0.4,5502432.4944769,5502383.5231467,0,12.9375,0,0,27.515506675533,0.00040007999999991
0.5,8596938.7522766,8596877.5442461,0,12.9375,0,0,34.392979999637,0.00050012499999996
0.6,12378710.654572,12378637.213793,0,12.9375,0,0,41.269892378678,0.00060017999999995
0.7,16847601.485374,16847515.823477,0,12.9375,0,0,48.146244008907,0.00070024499999988
0.8,22003464.592322,22003366.719537,0,12.9375,0,0,55.022035086583,0.00080031999999997
0.9,27846153.400142,27846043.302735,0,12.9375,0,0,61.897265807749,0.0009004050000001
1,34375521.349464,34375399.028322,0,12.9375,0,0,68.771936368316,0.0010004999999998
1.1,41591421.938807,41591287.406019,0,12.9375,0,0,75.646046964262,0.0011006050000001
1.2,49493708.740009,49493561.99999,0,12.9375,0,0,82.519597791284,0.00120072
1.3,58082235.338821,58082076.428806,0,12.9375,0,0,89.392589045056,0.0013008449999996
1.4,67356855.493789,67356684.365444,0,12.9375,0,0,96.265020921483,0.0014009800000001
1.5,77317422.860601,77317239.537243,0,12.9375,0,0,103.13689361573,0.0015011250000001
1.6,87963791.221836,87963595.725865,0,12.9375,0,0,110.00820732331,0.00160128
1.7,99295814.452343,99295606.767296,0,12.9375,0,0,116.8789622396,0.001701445
1.8,111313346.41609,111313126.5518,0,12.9375,0,0,123.74915855968,0.0018016200000001
1.9,124016241.05795,124016009.0239,0,12.9375,0,0,130.61879647884,0.001901805
2,137404352.37885,137404108.18235,0,12.9375,0,0,137.48787619202,0.0020019999999999
2.1,151477534.43752,151477278.08013,0,12.9375,0,0,144.35639789416,0.002102205
2.2,166235641.35253,166235372.82437,0,12.9375,0,0,151.22436178008,0.0022024199999999
2.3,181678527.24888,181678246.57638,0,12.9375,0,0,158.09176804461,0.002302645
2.4,197806046.37625,197805753.55159,0,12.9375,0,0,164.95861688225,0.0024028799999996
2.5,214618052.96782,214617748.01952,0,12.9375,0,0,171.82490848773,0.0025031249999999
2.6,232114401.39667,232114084.30378,0,12.9375,0,0,178.69064305547,0.0026033799999999
2.7,250294945.99256,250294616.78205,0,12.9375,0,0,185.55582077975,0.002703645
2.8,269159541.22549,269159199.88599,0,12.9375,0,0,192.42044185486,0.0028039199999997
2.9,288708041.56012,288707688.1013,0,12.9375,0,0,199.28450647504,0.0029042049999999
3,308940301.54183,308939935.96762,0,12.9375,0,0,206.14801483432,0.0030044999999999
3.1,329856175.77039,329855798.07855,0,12.9375,0,0,213.01096712673,0.0031048050000001
3.2,351455518.8783,351455129.08163,0,12.9375,0,0,219.8733635461,0.0032051200000001
3.3,373738185.58867,373737783.67826,0,12.9375,0,0,226.7352042863,0.0033054450000001
3.4,396704030.64415,396703616.62374,0,12.9375,0,0,233.59648954101,0.00340578
3.5,420352908.84519,420352482.7272,0,12.9375,0,0,240.45721950388,0.0035061250000002
3.6,444684675.05601,444684236.85158,0,12.9375,0,0,247.31739436838,0.0036064800000003
3.7,469699184.19656,469698733.91362,0,12.9375,0,0,254.17701432785,0.0037068450000003
3.8,495396291.26217,495395828.88382,0,12.9375,0,0,261.03607957569,0.00380722
3.9,521775851.24481,521775376.78643,0,12.9375,0,0,267.89459030526,0.0039076050000002
4,548837719.24367,548837232.69941,0,12.9375,0,0,274.75254670947,0.0040079999999998
4.1,576581750.35889,576581251.75441,0,12.9375,0,0,281.60994898162,0.004108405
4.2,605007799.80172,605007289.13673,0,12.9375,0,0,288.46679731446,0.00420882
4.3,634115722.79746,634115200.08532,0,12.9375,0,0,295.32309190095,0.004309245
4.4,663905374.65201,663904839.89274,0,12.9375,0,0,302.17883293379,0.00440968
4.5,694376610.70646,694376063.90513,0,12.9375,0,0,309.03402060574,0.0045101249999999
4.6,725529286.37477,725528727.5222,0,12.9375,0,0,315.88865510934,0.0046105799999999
4.7,742343970.71486,757202158.37975,0,12.9375,15005207.180157,4.6888908975472e-05,319.52730861837,0.0047110449999997
4.8,742659434.94883,789057475.47464,0,12.9375,46676737.913941,0.00014584194086897,319.59517370176,0.00481152
4.9,742974914.44983,820916397.18826,0,12.9375,78351879.982335,0.00024478521116022,319.6630320448,0.0049120049999999
5,743290429.63389,852778922.13501,0,12.9375,110030632.01137,0.00034371872178386,319.73088364893,0.0050125000000001
5.1,743605980.48688,884645048.92983,0,12.9375,141712992.62759,0.00044264247467381,319.79872851533,0.0051130050000001
5.2,743921566.99642,916514776.18821,0,12.9375,173398960.45766,0.00054155647176218,319.86656664551,0.0052135200000001
5.3,744237189.15047,948388102.5262,0,12.9375,205088534.1293,0.00064046071498207,319.93439804077,0.0053140450000001
5.4,744552846.92898,980265026.56039,0,12.9375,236781712.27055,0.00073935520626536,320.0022227024,0.0054145799999998
5.5,744868540.32179,1012145546.9079,0,12.9375,268478493.51015,0.00083823994754385,320.07004063185,0.0055151250000001
5.6,745184269.32603,1044029662.1864,0,12.9375,300178876.47712,0.00093711494074792,320.13785183035,0.0056156800000001
5.7,745500033.91421,1075917371.0141,0,12.9375,331882859.80122,0.0010359801878081,320.20565629925,0.0057162450000001
5.8,745815834.07784,1107808672.0098,0,12.9375,363590442.11257,0.0011348356906536,320.27345403991,0.0058168200000001
5.9,746131669.80575,1139703563.7928,0,12.9375,395301622.04215,0.0012336814512144,320.34124505362,0.005917405
6,746447541.07144,1171602044.983,0,12.9375,427016398.22099,0.0013325174714181,320.40902934187,0.006018
6.1,746763447.87342,1203504114.2006,0,12.9375,458734769.28116,0.0014313437531933,320.47680690579,0.0061186049999999
6.2,747079390.20297,1235409770.0668,0,12.9375,490456733.8549,0.0015301602984671,320.54457774686,0.0062192200000002
6.3,747395368.03192,1267319011.2029,0,12.9375,522182290.57507,0.0016289671091662,320.61234186628,0.0063198449999998
6.4,747711381.36077,1299231836.2311,0,12.9375,553911438.07305,0.0017277641872102,320.68009926695,0.00642048
6.5,748027430.16368,1331148243.7738,0,12.9375,585644174.98922,0.0018265515345448,320.747849946,0.0065211250000001
6.6,748343514.42872,1363068232.454,0,12.9375,617380499.95175,0.0019253291530754,320.81559390875,0.0066217799999999
6.7,748659634.15071,1394991800.8956,0,12.9375,649120411.59779,0.0020240970447331,320.88333115535,0.0067224450000001
6.8,748975789.30404,1426918947.7227,0,12.9375,680863908.56288,0.0021228552114416,320.95106168695,0.0068231199999997
6.9,749291979.89201,1458849671.56,0,12.9375,712610989.48314,0.0022216036551243,321.01878550511,0.0069238049999999
7,749608205.88454,1490783971.0329,0,12.9375,744361652.99527,0.0023203423777042,321.08650261102,0.0070245
7.1,749924467.27891,1522721844.767,0,12.9375,776115897.73548,0.0024190713811005,321.15421300655,0.0071252049999999
7.2,750240764.05387,1554663291.3889,0,12.9375,807873722.34439,0.0025177906672438,321.22191669137,0.0072259200000001
7.3,750557096.19798,1586608309.5253,0,12.9375,839635125.45727,0.0026165002380461,321.28961366851,0.007326645
7.4,750873463.70272,1618556897.8037,0,12.9375,871400105.71391,0.0027152000954309,321.3573039388,0.0074273800000001
7.5,751189866.54669,1650509054.852,0,12.9375,903168661.75371,0.0028138902413184,321.42498750343,0.0075281249999999
7.6,751506304.72021,1682464779.2989,0,12.9375,934940792.21636,0.0029125706776275,321.49266436391,0.00762888
7.7,751822778.21295,1714424069.7734,0,12.9375,966716495.74029,0.0030112414062711,321.56033452272,0.0077296449999999
