time,Fx
0,0
0.01,80.830159924175
0.02,161.46692277342
0.03,241.91099614459
0.04,322.1630830914
0.05,389.66646861701
0.06,393.33456181204
0.07,396.31227266271
0.08,398.81652331686
0.09,400.99782640068
0.1,402.95937395831
0.11,404.77130002037
0.12,406.48098331924
0.13,408.12030222689
0.14,409.71065816341
0.15,411.26640743834
0.16,412.79718172254
0.17,414.30945663852
0.18,415.8075943583
0.19,417.29454077036
0.2,418.77230192164
0.21,420.24224469691
0.22,421.70530989601
0.23,423.16215029442
0.24,424.61322316332
0.25,426.05885212492
0.26,427.4992699496
0.27,428.93464791392
0.28,430.36511324184
0.29,431.79076055808
0.3,433.21166604666
0.31,434.62788908016
0.32,436.03947829511
0.33,437.4464745908
0.34,438.84891311
0.35,440.24682404453
0.36,441.64023512284
0.37,443.0291713753
0.38,444.41365568418
0.39,445.79370076323
0.4,447.16785743525
0.41,448.52111458814
0.42,388.93031202628
0.43,330.84755022414
0.44,287.53186804549
0.45,253.03687294381
0.46,224.40410391112
0.47,200.00286716718
0.48,178.83770838945
0.49,160.2721964045
0.5,143.84384267464
0.51,129.22652163616
0.52,116.18497940766
0.53,104.52334248614
0.54,94.077557476046
0.55,84.73375576967
0.56,76.365055670241
0.57,68.891959514826
0.58,62.208782621654
0.59,56.254585427753
0.6,50.935702570572
0.61,46.194744523725
0.62,41.976150183651
0.63,38.205043835382
0.64,34.847677244281
0.65,31.83714606957
0.66,29.14282176103
0.67,26.727397015235
0.68,24.559136631168
0.69,22.610970468588
0.7,20.858817951108
