time,Fx
0,0
0.01,80.830139433121
0.02,161.4668844799
0.03,241.91093783242
0.04,322.16300513518
0.05,389.66646154205
0.06,393.33455722892
0.07,396.31226919173
0.08,398.81652069365
0.09,400.99782472683
0.1,402.95937193569
0.12,406.37057567129
0.14,409.63773652522
0.16,412.75017712368
0.18,415.77705753588
0.2,418.75186959956
0.22,421.69101725187
0.24,424.60268707757
0.26,427.49107892336
0.28,430.35841728026
0.3,433.20595567021
0.32,436.03442527242
0.34,438.84431943795
0.36,441.63596788549
0.38,444.4096282559
0.4,447.16543008242
0.42,449.90028673264
0.44,452.58645419828
0.46,360.55046519225
0.48,295.10669171051
0.5,247.51478433292
0.52,210.18707212942
0.54,179.68628483765
0.56,154.13436763292
0.58,132.38780675472
0.6,113.68114041844
0.62,97.498630651548
0.64,83.455639028386
0.66,71.280557214826
0.68,60.751288812602
0.7,51.70672297056
