time,d,resid_x
0,0,0
0.01,0,77.063709269375
0.02,0,153.94308696003
0.03,0,230.63880749787
0.04,0,307.15154242578
0.05,0,361.68964557023
0.06,0,363.92166942753
0.07,0,365.49430429151
0.08,0,366.62035823868
0.09,0,367.44635063605
0.1,0,368.07181696526
0.11,0,368.56369735513
0.12,0,368.96667980932
0.13,0,369.31044422195
0.14,0,369.61463586342
0.15,0,369.89223366675
0.16,0,370.15180554098
0.17,0,370.3990103652
0.18,0,370.63759202666
0.19,0,370.87003233766
0.2,0,371.09798313443
0.21,0,371.3225486413
0.22,0,371.54447124575
0.23,0,371.76425352059
0.24,0,371.98223854476
0.25,0,372.19866306675
0.26,0,372.41369137598
0.27,0,372.62743973767
0.28,0,372.83999199042
0.29,0,373.05140800733
0.3,0,373.26173289361
0.31,0,373.47100091693
0.32,0,373.67923778268
0.33,0,373.88646343742
0.34,0,374.09269435799
0.35,0,374.29794374509
0.36,0,374.50222323788
0.37,0,374.70554198554
0.38,0,374.90790813989
0.39,0,375.10932923317
0.4,0,375.30981183715
0.41,0,375.50936114733
0.42,0,375.70798292906
0.43,0,375.90568255193
0.44,0,376.10246479252
0.45,0,376.29833347602
0.46,0,376.49329339437
0.47,0,376.68734952754
0.48,0,376.88050476981
0.49,0,377.07276354111
0.5,0,377.26412965866
0.51,0,377.45460732425
0.52,0,377.64419952725
0.53,0,377.8329105828
0.54,0,378.02074419655
0.55,0,378.20770347747
0.56,0,378.39379227299
0.57,0,378.57901382018
0.58,0,378.7633715792
0.59,0,378.94686922477
0.6,0,379.12951041885
0.61,0,379.31129836978
0.62,0,379.49223624918
0.63,0,379.67232805856
0.64,0,379.85157632252
0.65,0,380.0299851805
0.66,0,380.20755741547
0.67,0,380.38429654329
0.68,0,380.5602055081
0.69,0,380.73528801372
0.7,0,380.90954699932
0.71,0,381.08298585421
0.72,0,381.25560803102
0.73,0,381.42741646746
0.74,0,381.59841427732
0.75,0,381.76860469799
0.76,0,381.93799116128
0.77,0,382.10657661229
0.78,0,382.2743639521
0.79,0,382.44135669284
0.8,0,382.60755782518
0.81,0.0001940893177333,338.53505315162
0.82,0.00034604006655874,307.63845917442
0.83,0.00047021023056961,286.75735692294
0.84,0.00057884372492442,271.07183863349
0.85,0.00067725841174532,258.46066945229
0.86,0.00076815753659548,247.8718596723
0.87,0.00085309063171287,238.66819730154
0.88,0.00093306382094105,230.50695660337
0.89,0.0010089102699021,223.10543027333
0.9,0.001081224327853,216.33018639853
0.91,0.001150404156675,210.06357569581
0.92,0.0012167162203173,204.21623840057
0.93,0.0012804101496956,198.72358164457
0.94,0.001341759903813,193.53805731301
0.95,0.0014009266219468,188.61435298347
0.96,0.0014579252964935,183.92855728779
0.97,0.0015128772885953,179.43806281528
0.98,0.0015658843898946,175.14367977959
0.99,0.0016170031273844,171.02108382314
1,0.0016660251988159,167.02883138179
1.01,0.0017131415992909,163.17071010913
1.02,0.001758443784004,159.44501528433
1.03,0.0018020221899106,155.84687563255
1.04,0.0018439067741308,152.35609512205
1.05,0.0018841858454824,148.95046122558
1.06,0.0019229543906315,145.64703575067
1.07,0.0019602640394414,142.43445132417
1.08,0.0019961858767105,139.3126889607
1.09,0.0020307809494534,136.26005713003
1.1,0.0020640924739463,133.26737922615
1.11,0.0020961771892908,130.33946113055
1.12,0.0021271066624127,127.4796271335
1.13,0.0021569471591526,124.67955209607
1.14,0.0021857593546792,121.91152154184
1.15,0.0022135958491736,119.19065387031
1.16,0.00224050894183,116.51280439765
1.17,0.0022665202931446,113.84181952893
1.18,0.0022916677408996,111.18414587884
1.19,0.0023159705426609,108.50213346623
1.2,0.0023396243051893,105.76605541235
1.21,0.0023624817653246,103.00862248568
1.22,0.0023845741261393,100.24095364221
1.23,0.0024059400058055,97.481214498388
1.24,0.0024266246718147,94.747193396795
1.25,0.0024466781982626,92.054202626386
1.26,0.0024661535555004,89.41354309075
1.27,0.0024851064056076,86.832657651609
1.28,0.0025035917040216,84.317254126099
1.29,0.00252166382986,81.871659450721
1.3,0.0025393744332438,79.499770656811
